11-06-2019:17:45:19,7 INFO [test_1.py:29] 手机与appium服务器建立连接完成
11-06-2019:17:45:24,39 INFO [test_1.py:33] 点击密码按键，进入账号密码登录页面
11-06-2019:17:45:32,127 INFO [test_1.py:37] 输入的手机是:17630171326
11-06-2019:17:45:37,979 INFO [test_1.py:39] 输入的密码是:
11-06-2019:17:45:41,119 INFO [test_1.py:41] 点击登录按钮
11-06-2019:17:45:43,119 INFO [test_1.py:45] 登录成功的处理
11-06-2019:17:45:48,180 INFO [test_1.py:51] 登录失败的处理
11-06-2019:17:45:53,984 INFO [test_1.py:37] 输入的手机是: 
11-06-2019:17:45:58,903 INFO [test_1.py:39] 输入的密码是:xiao123465
11-06-2019:17:46:02,665 INFO [test_1.py:41] 点击登录按钮
11-06-2019:17:46:04,666 INFO [test_1.py:45] 登录成功的处理
11-06-2019:17:46:09,759 INFO [test_1.py:51] 登录失败的处理
11-06-2019:17:46:15,127 INFO [test_1.py:37] 输入的手机是: 
11-06-2019:17:46:20,809 INFO [test_1.py:39] 输入的密码是:
11-06-2019:17:46:23,963 INFO [test_1.py:41] 点击登录按钮
11-06-2019:17:46:25,963 INFO [test_1.py:45] 登录成功的处理
11-06-2019:17:46:31,20 INFO [test_1.py:51] 登录失败的处理
11-06-2019:17:46:31,27 INFO [test_1.py:57] 手机与appium断开连接
11-06-2019:17:49:12,285 INFO [test_1.py:29] 手机与appium服务器建立连接完成
11-06-2019:17:49:17,287 INFO [test_1.py:33] 点击密码按键，进入账号密码登录页面
11-06-2019:17:49:23,896 INFO [test_1.py:37] 输入的手机是:17630171326
11-06-2019:17:49:29,120 INFO [test_1.py:39] 输入的密码是:
11-06-2019:17:49:32,286 INFO [test_1.py:41] 点击登录按钮
11-06-2019:17:49:34,287 INFO [test_1.py:45] 登录成功的处理
11-06-2019:17:49:39,343 INFO [test_1.py:51] 登录失败的处理
11-06-2019:17:49:39,346 INFO [test_1.py:57] 手机与appium断开连接
11-06-2019:17:50:08,161 INFO [test_1.py:29] 手机与appium服务器建立连接完成
11-06-2019:17:50:13,173 INFO [test_1.py:33] 点击密码按键，进入账号密码登录页面
11-06-2019:17:50:19,553 INFO [test_1.py:37] 输入的手机是:17630171326
11-06-2019:17:50:25,34 INFO [test_1.py:39] 输入的密码是:
11-06-2019:17:50:28,179 INFO [test_1.py:41] 点击登录按钮
11-06-2019:17:50:30,180 INFO [test_1.py:45] 登录成功的处理
11-06-2019:17:50:35,252 INFO [test_1.py:51] 登录失败的处理
11-06-2019:17:50:41,826 INFO [test_1.py:37] 输入的手机是: 
11-06-2019:17:50:46,677 INFO [test_1.py:39] 输入的密码是:xiao123465
11-06-2019:17:50:50,421 INFO [test_1.py:41] 点击登录按钮
11-06-2019:17:50:52,423 INFO [test_1.py:45] 登录成功的处理
11-06-2019:17:50:57,504 INFO [test_1.py:51] 登录失败的处理
11-06-2019:17:50:57,508 INFO [test_1.py:57] 手机与appium断开连接
11-06-2019:17:55:33,989 INFO [test_1.py:29] 手机与appium服务器建立连接完成
11-06-2019:17:55:39,2 INFO [test_1.py:33] 点击密码按键，进入账号密码登录页面
11-06-2019:17:55:45,480 INFO [test_1.py:37] 输入的手机是:17630171326
11-06-2019:17:55:50,774 INFO [test_1.py:39] 输入的密码是:
11-06-2019:17:55:53,955 INFO [test_1.py:41] 点击登录按钮
11-06-2019:17:55:55,956 INFO [test_1.py:45] 登录成功的处理
