12-06-2019:16:17:16,926 INFO [test_2.py:20] 连接服务器成功
12-06-2019:16:17:27,540 INFO [test_2.py:24] 点击体验成功
12-06-2019:16:17:39,239 INFO [test_2.py:27] 点击下一步成功
12-06-2019:16:17:49,539 INFO [test_2.py:30] 点击下一步成功
12-06-2019:16:18:00,343 INFO [test_2.py:33] 购买成功的处理
12-06-2019:16:18:04,778 INFO [test_2.py:40] 断开服务器成功
12-06-2019:16:18:37,737 INFO [test_2.py:20] 连接服务器成功
12-06-2019:16:18:48,482 INFO [test_2.py:24] 点击体检成功
12-06-2019:16:18:59,800 INFO [test_2.py:27] 点击下一步成功
12-06-2019:16:19:10,117 INFO [test_2.py:30] 点击下一步成功
12-06-2019:16:19:20,521 INFO [test_2.py:33] 购买成功的处理
12-06-2019:16:19:24,555 INFO [test_2.py:40] 断开服务器成功
